depth,diameter,outer_pipe_diameter,outer_pipe_thickness,inner_pipe_diameter,inner_pipe_thickness,inner_pipe_thermal_conductivity,fluid_density,fluid_viscosity,fluid_thermal_conductivity,fluid_specific_heat_capacity,fluid_flow_rate,inlet_fluid_temperature,formation_density,formation_specific_heat_capacity,formation_thermal_conductivity,geothermal_gradient
3461.0,0.2195,0.1695,0.0165,0.0835,0.0108,29.0738,1260.0,0.036,3.4,1936.0,0.0049,282.0,2212.0,697.0,2.9,0.0313
4089.0,0.1896,0.1396,0.0113,0.0768,0.0088,14.3903,1451.0,0.0412,2.0,3044.0,0.0036,310.0,2538.0,754.0,3.5,0.0351
3938.0,0.2011,0.1511,0.0173,0.0999,0.0092,12.8889,1061.0,0.0444,3.1,4423.0,0.0029,311.0,2304.0,669.0,3.1,0.0283
2531.0,0.1793,0.1293,0.0149,0.0649,0.0143,32.8566,1162.0,0.0376,3.0,3904.0,0.0061,297.0,2389.0,625.0,3.1,0.0355
4976.0,0.2015,0.1515,0.0198,0.0499,0.0125,21.5588,1304.0,0.0521,2.4,3251.0,0.0047,307.0,2080.0,742.0,2.9,0.0363
3671.0,0.2037,0.1537,0.0141,0.0584,0.0062,29.3419,1394.0,0.0333,2.9,3058.0,0.006,302.0,2242.0,675.0,3.9,0.0337
3183.0,0.1716,0.1216,0.0123,0.0514,0.0093,20.5259,885.0,0.0238,-0.0,3862.0,0.0018,320.0,2130.0,657.0,3.7,0.0309
4751.0,0.1876,0.1376,0.0151,0.0734,0.0068,18.665,1253.0,0.0414,2.7,3769.0,0.0045,305.0,2341.0,744.0,3.0,0.0306
3849.0,0.1933,0.1433,0.0136,0.0572,0.0093,28.3092,1288.0,0.0345,2.8,3985.0,0.0074,296.0,2215.0,721.0,3.3,0.0318
3963.0,0.2004,0.1504,0.0117,0.0757,0.0082,12.3905,1153.0,0.0386,2.8,3087.0,0.0025,303.0,2292.0,702.0,3.8,0.0331
4340.0,0.2132,0.1632,0.0167,0.0725,0.0114,25.5619,1219.0,0.0301,2.2,3188.0,0.0052,296.0,2084.0,716.0,3.0,0.0322
3244.0,0.1865,0.1365,0.0124,0.0901,0.0072,16.4649,952.0,0.0448,2.9,3135.0,0.0061,290.0,2348.0,819.0,3.6,0.0335
3725.0,0.208,0.158,0.0129,0.0657,0.0094,19.1894,1321.0,0.0297,2.7,3488.0,0.0037,306.0,2316.0,718.0,3.2,0.0356
3810.0,0.2044,0.1544,0.0191,0.0563,0.0052,20.0228,1172.0,0.0508,3.5,2728.0,0.0044,295.0,2156.0,618.0,3.5,0.0311
3800.0,0.2073,0.1573,0.0128,0.0611,0.0087,23.3151,1137.0,0.027,4.2,3398.0,0.0055,314.0,2309.0,680.0,4.2,0.0306
4180.0,0.2028,0.1528,0.0155,0.0802,0.0044,15.9481,1266.0,0.0369,2.1,5108.0,0.0048,312.0,2404.0,699.0,4.1,0.0335
4666.0,0.184,0.134,0.0107,0.0671,0.0085,18.2953,1310.0,0.0278,1.1,4681.0,0.0032,298.0,1904.0,737.0,2.3,0.0296
3078.0,0.1985,0.1485,0.0083,0.0792,0.0116,25.092,1166.0,0.0392,2.6,2242.0,0.0051,301.0,2260.0,669.0,2.9,0.0314
4237.0,0.1774,0.1274,0.0149,0.0747,0.0087,23.1537,1198.0,0.0214,2.9,2922.0,0.004,303.0,2167.0,629.0,3.6,0.0324
3605.0,0.1896,0.1396,0.0115,0.0689,0.0072,19.8591,1133.0,0.0397,2.9,3420.0,0.0079,309.0,1946.0,705.0,3.7,0.0326
3975.0,0.1757,0.1257,0.0147,0.0556,0.0076,22.4051,1110.0,0.0421,3.4,3278.0,0.0051,305.0,2486.0,758.0,3.4,0.0393
4794.0,0.1904,0.1404,0.0161,0.0473,0.0086,21.2463,1276.0,0.0379,2.2,3152.0,0.0064,300.0,2439.0,728.0,3.3,0.0339
3528.0,0.1973,0.1473,0.0164,0.0881,0.0098,22.1221,1168.0,0.0061,3.2,3462.0,0.0057,287.0,2295.0,666.0,3.2,0.0319
4846.0,0.1945,0.1445,0.0175,0.0632,0.0059,9.1726,902.0,0.0364,2.5,2531.0,0.0039,313.0,2169.0,679.0,3.0,0.0298
4212.0,0.2092,0.1592,0.0158,0.0626,0.0063,8.2318,1152.0,0.0461,2.2,4953.0,0.0042,300.0,2560.0,610.0,3.7,0.0293
5414.0,0.1799,0.1299,0.0134,0.0491,0.0067,28.0267,1331.0,0.0277,2.1,3441.0,0.0062,303.0,2251.0,654.0,3.9,0.0346
3317.0,0.1997,0.1497,0.0136,0.0772,0.0065,35.4241,1066.0,0.0241,2.7,4036.0,0.0041,292.0,1974.0,652.0,3.6,0.0338
4005.0,0.1924,0.1424,0.0157,0.0696,0.0116,15.6405,1235.0,0.0336,1.7,3944.0,0.0067,306.0,2202.0,715.0,3.8,0.0365
4149.0,0.1934,0.1434,0.0102,0.062,0.012,5.8087,1083.0,0.043,2.6,4282.0,0.0046,309.0,2183.0,758.0,3.3,0.0296
3296.0,0.1885,0.1385,0.0104,0.0663,0.0108,23.7503,1126.0,0.0326,2.5,4013.0,0.0072,304.0,2797.0,659.0,3.5,0.0361
4597.0,0.1941,0.1441,0.0074,0.0607,0.0112,10.84,1143.0,0.0499,1.9,3691.0,0.0083,300.0,2113.0,786.0,4.0,0.0368
2915.0,0.2049,0.1549,0.0089,0.0591,0.0119,24.9572,1194.0,0.0292,3.1,3583.0,0.006,295.0,2058.0,798.0,2.7,0.0277
